净值日期,单位净值,日增长率
2014-11-18,1.0,0.0
2014-11-21,1.0,0.0
2014-11-28,1.005,0.0
2014-12-05,1.021,0.0
2014-12-12,1.029,0.0
2014-12-17,1.047,0.0
2014-12-18,1.046,-0.0955
2014-12-19,1.04,-0.5736
2014-12-22,1.015,-2.4038
2014-12-23,1.011,-0.3941
2014-12-24,1.017,0.5935
2014-12-25,1.026,0.885
2014-12-26,1.03,0.3899
2014-12-29,1.019,-1.068
2014-12-30,1.01,-0.8832
2014-12-31,1.032,2.1782
2015-01-05,1.028,-0.3876
2015-01-06,1.045,1.6537
2015-01-07,1.056,1.0526
2015-01-08,1.058,0.1894
2015-01-09,1.063,0.4726
2015-01-12,1.072,0.8467
2015-01-13,1.093,1.959
2015-01-14,1.099,0.5489
2015-01-15,1.111,1.0919
2015-01-16,1.114,0.27
2015-01-19,1.108,-0.5386
2015-01-20,1.155,4.2419
2015-01-21,1.177,1.9048
2015-01-22,1.183,0.5098
2015-01-23,1.164,-1.6061
2015-01-26,1.194,2.5773
2015-01-27,1.204,0.8375
2015-01-28,1.192,-0.9967
2015-01-29,1.19,-0.1678
2015-01-30,1.179,-0.9244
2015-02-02,1.173,-0.5089
2015-02-03,1.188,1.2788
2015-02-04,1.184,-0.3367
2015-02-05,1.178,-0.5068
2015-02-06,1.168,-0.8489
2015-02-09,1.15,-1.5411
2015-02-10,1.153,0.2609
2015-02-11,1.182,2.5152
2015-02-12,1.189,0.5922
2015-02-13,1.205,1.3457
2015-02-16,1.229,1.9917
2015-02-17,1.235,0.4882
2015-02-25,1.223,-0.9717
2015-02-26,1.23,0.5724
2015-02-27,1.236,0.4878
2015-03-02,1.25,1.1327
2015-03-03,1.247,-0.24
2015-03-04,1.293,3.6889
2015-03-05,1.283,-0.7734
2015-03-06,1.263,-1.5588
2015-03-09,1.284,1.6627
2015-03-10,1.311,2.1028
2015-03-11,1.3,-0.8391
2015-03-12,1.297,-0.2308
2015-03-13,1.321,1.8504
2015-03-16,1.363,3.1794
2015-03-17,1.371,0.5869
2015-03-18,1.384,0.9482
2015-03-19,1.38,-0.289
2015-03-20,1.403,1.6667
2015-03-23,1.438,2.4947
2015-03-24,1.458,1.3908
2015-03-25,1.471,0.8916
2015-03-26,1.443,-1.9035
2015-03-27,1.473,2.079
2015-03-30,1.473,0.0
2015-03-31,1.489,1.0862
2015-04-01,1.544,3.6938
2015-04-02,1.577,2.1373
2015-04-03,1.591,0.8878
2015-04-07,1.612,1.3199
2015-04-08,1.592,-1.2407
2015-04-09,1.599,0.4397
2015-04-10,1.658,3.6898
2015-04-13,1.72,3.7394
2015-04-14,1.721,0.0581
2015-04-15,1.656,-3.7769
2015-04-16,1.686,1.8116
2015-04-17,1.676,-0.5931
2015-04-20,1.629,-2.8043
2015-04-21,1.674,2.7624
2015-04-22,1.71,2.1505
2015-04-23,1.712,0.117
2015-04-24,1.715,0.1752
2015-04-27,1.727,0.6997
2015-04-28,1.681,-2.6636
2015-04-29,1.726,2.677
2015-04-30,1.767,2.3754
2015-05-04,1.77,0.1698
2015-05-05,1.716,-3.0508
2015-05-06,1.73,0.8159
2015-05-07,1.704,-1.5029
2015-05-08,1.783,4.6362
2015-05-11,1.893,6.1694
2015-05-12,1.976,4.3846
2015-05-13,2.015,1.9737
2015-05-14,2.04,1.2407
2015-05-15,2.043,0.1471
2015-05-18,2.13,4.2584
2015-05-19,2.172,1.9718
2015-05-20,2.214,1.9337
2015-05-21,2.301,3.9295
2015-05-22,2.343,1.8253
2015-05-25,2.344,0.0427
2015-05-26,2.419,3.1997
2015-05-27,2.454,1.4469
2015-05-28,2.298,-6.357
2015-05-29,2.31,0.5222
2015-06-01,2.401,3.9394
2015-06-02,2.482,3.3736
2015-06-03,2.476,-0.2417
2015-06-04,2.407,-2.7868
2015-06-05,2.408,0.0415
2015-06-08,2.358,-2.0764
2015-06-09,2.348,-0.4241
2015-06-10,2.394,1.9591
2015-06-11,2.453,2.4645
2015-06-12,2.502,1.9976
2015-06-15,2.425,-3.0775
2015-06-16,2.318,-4.4124
2015-06-17,2.365,2.0276
2015-06-18,2.283,-3.4672
2015-06-19,2.141,-6.2199
2015-06-23,2.156,0.7006
2015-06-24,2.184,1.2987
2015-06-25,2.098,-3.9377
2015-06-26,1.924,-8.2936
2015-06-29,1.784,-7.2765
2015-06-30,1.885,5.6614
2015-07-01,1.801,-4.4562
2015-07-02,1.678,-6.8295
2015-07-03,1.571,-6.3766
2015-07-06,1.523,-3.0554
2015-07-07,1.408,-7.5509
2015-07-08,1.326,-5.8239
2015-07-09,1.394,5.1282
2015-07-10,1.477,5.9541
2015-07-13,1.573,6.4997
2015-07-14,1.608,2.225
2015-07-15,1.52,-5.4726
2015-07-16,1.548,1.8421
2015-07-17,1.628,5.168
2015-07-20,1.659,1.9042
2015-07-21,1.683,1.4467
2015-07-22,1.687,0.2377
2015-07-23,1.733,2.7267
2015-07-24,1.702,-1.7888
2015-07-27,1.574,-7.5206
2015-07-28,1.523,-3.2402
2015-07-29,1.588,4.2679
2015-07-30,1.548,-2.5189
2015-07-31,1.549,0.0646
2015-08-03,1.492,-3.6798
2015-08-04,1.566,4.9598
2015-08-05,1.546,-1.2771
2015-08-06,1.534,-0.7762
2015-08-07,1.579,2.9335
2015-08-10,1.655,4.8132
2015-08-11,1.658,0.1813
2015-08-12,1.62,-2.2919
2015-08-13,1.651,1.9136
2015-08-14,1.661,0.6057
2015-08-17,1.671,0.602
2015-08-18,1.565,-6.3435
2015-08-19,1.582,1.0863
2015-08-20,1.524,-3.6662
2015-08-21,1.449,-4.9213
2015-08-24,1.326,-8.4886
2015-08-25,1.239,-6.5611
2015-08-26,1.222,-1.3721
2015-08-27,1.265,3.5188
2015-08-28,1.329,5.0593
2015-08-31,1.302,-2.0316
2015-09-01,1.246,-4.3011
2015-09-02,1.219,-2.1669
2015-09-07,1.228,0.7383
2015-09-08,1.284,4.5603
2015-09-09,1.316,2.4922
2015-09-10,1.305,-0.8359
2015-09-11,1.305,0.0
2015-09-14,1.255,-3.8314
2015-09-15,1.195,-4.7809
2015-09-16,1.27,6.2762
2015-09-17,1.247,-1.811
2015-09-18,1.254,0.5613
2015-09-21,1.295,3.2695
2015-09-22,1.305,0.7722
2015-09-23,1.293,-0.9195
2015-09-24,1.309,1.2374
2015-09-25,1.271,-2.903
2015-09-28,1.301,2.3603
2015-09-29,1.283,-1.3836
2015-09-30,1.276,-0.5456
2015-10-08,1.326,3.9185
2015-10-09,1.335,0.6787
2015-10-12,1.378,3.221
2015-10-13,1.385,0.508
2015-10-14,1.368,-1.2274
2015-10-15,1.402,2.4854
2015-10-16,1.408,0.428
2015-10-19,1.407,-0.071
2015-10-20,1.438,2.2033
2015-10-21,1.374,-4.4506
2015-10-22,1.439,4.7307
2015-10-23,1.487,3.3356
2015-10-26,1.509,1.4795
2015-10-27,1.529,1.3254
2015-10-28,1.49,-2.5507
2015-10-29,1.508,1.2081
2015-10-30,1.509,0.0663
2015-11-02,1.481,-1.8555
2015-11-03,1.465,-1.0804
2015-11-04,1.528,4.3003
2015-11-05,1.523,-0.3272
2015-11-06,1.548,1.6415
2015-11-09,1.562,0.9044
2015-11-10,1.561,-0.064
2015-11-11,1.584,1.4734
2015-11-12,1.584,0.0
2015-11-13,1.54,-2.7778
2015-11-16,1.556,1.039
2015-11-17,1.548,-0.5141
2015-11-18,1.524,-1.5504
2015-11-19,1.554,1.9685
2015-11-20,1.566,0.7722
2015-11-23,1.574,0.5109
2015-11-24,1.576,0.1271
2015-11-25,1.615,2.4746
2015-11-26,1.608,-0.4334
2015-11-27,1.519,-5.5348
2015-11-30,1.531,0.79
2015-12-01,1.538,0.4572
2015-12-02,1.515,-1.4954
2015-12-03,1.549,2.2442
2015-12-04,1.549,0.0
2015-12-07,1.577,1.8076
2015-12-08,1.552,-1.5853
2015-12-09,1.549,-0.1933
2015-12-10,1.548,-0.0646
2015-12-11,1.53,-1.1628
2015-12-14,1.549,1.2418
2015-12-15,1.59,2.6469
2015-12-16,1.596,0.3774
2015-12-17,1.642,2.8822
2015-12-18,1.632,-0.609
2015-12-21,1.646,0.8578
2015-12-22,1.652,0.3645
2015-12-23,1.636,-0.9685
2015-12-24,1.615,-1.2836
2015-12-25,1.616,0.0619
2015-12-28,1.607,-0.5569
2015-12-29,1.625,1.1201
2015-12-30,1.65,1.5385
2015-12-31,1.644,-0.3636
2016-01-04,1.506,-8.3942
2016-01-05,1.444,-4.1169
2016-01-06,1.467,1.5928
2016-01-07,1.34,-8.6571
2016-01-08,1.346,0.4478
2016-01-11,1.247,-7.3551
2016-01-12,1.249,0.1604
2016-01-13,1.198,-4.0833
2016-01-14,1.244,3.8397
2016-01-15,1.208,-2.8939
2016-01-18,1.226,1.4901
2016-01-19,1.276,4.0783
2016-01-20,1.259,-1.3323
2016-01-21,1.208,-4.0508
2016-01-22,1.206,-0.1656
2016-01-25,1.222,1.3267
2016-01-26,1.137,-6.9558
2016-01-27,1.116,-1.847
2016-01-28,1.077,-3.4946
2016-01-29,1.12,3.9926
2016-02-01,1.108,-1.0714
2016-02-02,1.152,3.9711
2016-02-03,1.157,0.434
2016-02-04,1.173,1.3829
2016-02-05,1.173,0.0
2016-02-15,1.18,0.5968
2016-02-16,1.232,4.4068
2016-02-17,1.236,0.3247
2016-02-18,1.224,-0.9709
2016-02-19,1.23,0.4902
2016-02-22,1.246,1.3008
2016-02-23,1.235,-0.8828
2016-02-24,1.242,0.5668
2016-02-25,1.155,-7.0048
2016-02-26,1.149,-0.5195
2016-02-29,1.079,-6.0923
2016-03-01,1.101,2.0389
2016-03-02,1.146,4.0872
2016-03-03,1.145,-0.0873
2016-03-04,1.117,-2.4454
2016-03-07,1.138,1.88
2016-03-08,1.148,0.8787
2016-03-09,1.136,-1.0453
2016-03-10,1.122,-1.2324
2016-03-11,1.117,-0.4456
2016-03-14,1.15,2.9543
2016-03-15,1.14,-0.8696
2016-03-16,1.137,-0.2632
2016-03-17,1.169,2.8144
2016-03-18,1.203,2.9085
2016-03-21,1.224,1.7456
2016-03-22,1.22,-0.3268
2016-03-23,1.224,0.3279
2016-03-24,1.206,-1.4706
2016-03-25,1.21,0.3317
2016-03-28,1.211,0.0826
2016-03-29,1.183,-2.3121
2016-03-30,1.224,3.4658
2016-03-31,1.229,0.4085
2016-04-01,1.222,-0.5696
2016-04-05,1.251,2.3732
2016-04-06,1.254,0.2398
2016-04-07,1.24,-1.1164
2016-04-08,1.227,-1.0484
2016-04-11,1.257,2.445
2016-04-12,1.252,-0.3978
2016-04-13,1.262,0.7987
2016-04-14,1.268,0.4754
2016-04-15,1.263,-0.3943
2016-04-18,1.243,-1.5835
2016-04-19,1.243,0.0
2016-04-20,1.191,-4.1834
2016-04-21,1.184,-0.5877
2016-04-22,1.205,1.7736
2016-04-25,1.201,-0.332
2016-04-26,1.207,0.4996
2016-04-27,1.211,0.3314
2016-04-28,1.207,-0.3303
2016-04-29,1.203,-0.3314
2016-05-03,1.236,2.7431
2016-05-04,1.24,0.3236
2016-05-05,1.24,0.0
2016-05-06,1.202,-3.0645
2016-05-09,1.168,-2.8286
2016-05-10,1.167,-0.0856
2016-05-11,1.179,1.0283
2016-05-12,1.173,-0.5089
2016-05-13,1.173,0.0
2016-05-16,1.189,1.364
2016-05-17,1.191,0.1682
2016-05-18,1.166,-2.0991
2016-05-19,1.167,0.0858
2016-05-20,1.174,0.5998
2016-05-23,1.178,0.3407
2016-05-24,1.175,-0.2547
2016-05-25,1.169,-0.5106
2016-05-26,1.174,0.4277
2016-05-27,1.173,-0.0852
2016-05-30,1.166,-0.5968
2016-05-31,1.201,3.0017
2016-06-01,1.202,0.0833
2016-06-02,1.206,0.3328
2016-06-03,1.213,0.5804
2016-06-06,1.212,-0.0824
2016-06-07,1.218,0.495
2016-06-08,1.212,-0.4926
2016-06-13,1.17,-3.4653
2016-06-14,1.174,0.3419
2016-06-15,1.196,1.8739
2016-06-16,1.187,-0.7525
2016-06-17,1.201,1.1794
2016-06-20,1.21,0.7494
2016-06-21,1.2,-0.8264
2016-06-22,1.217,1.4167
2016-06-23,1.212,-0.4108
2016-06-24,1.208,-0.33
2016-06-27,1.234,2.1523
2016-06-28,1.257,1.8639
2016-06-29,1.257,0.0
2016-06-30,1.263,0.4773
2016-07-01,1.255,-0.6334
2016-07-04,1.269,1.1155
2016-07-05,1.269,0.0
2016-07-06,1.284,1.182
2016-07-07,1.299,1.1682
2016-07-08,1.292,-0.5389
2016-07-11,1.296,0.3096
2016-07-12,1.313,1.3117
2016-07-13,1.309,-0.3046
2016-07-14,1.306,-0.2292
2016-07-15,1.305,-0.0766
2016-07-18,1.299,-0.4598
2016-07-19,1.292,-0.5389
2016-07-20,1.292,0.0
2016-07-21,1.291,-0.0774
2016-07-22,1.275,-1.2393
2016-07-25,1.279,0.3137
2016-07-26,1.306,2.111
2016-07-27,1.289,-1.3017
2016-07-28,1.295,0.4655
2016-07-29,1.296,0.0772
2016-08-01,1.279,-1.3117
2016-08-02,1.287,0.6255
2016-08-03,1.29,0.2331
2016-08-04,1.288,-0.155
2016-08-05,1.285,-0.2329
2016-08-08,1.293,0.6226
2016-08-09,1.299,0.464
2016-08-10,1.301,0.154
2016-08-11,1.286,-1.153
2016-08-12,1.295,0.6998
2016-08-15,1.312,1.3127
2016-08-16,1.324,0.9146
2016-08-17,1.329,0.3776
2016-08-18,1.322,-0.5267
2016-08-19,1.328,0.4539
2016-08-22,1.325,-0.2259
2016-08-23,1.326,0.0755
2016-08-24,1.324,-0.1508
2016-08-25,1.32,-0.3021
2016-08-26,1.326,0.4545
2016-08-29,1.329,0.2262
2016-08-30,1.321,-0.602
2016-08-31,1.322,0.0757
2016-09-01,1.315,-0.5295
2016-09-02,1.313,-0.1521
2016-09-05,1.315,0.1523
2016-09-06,1.325,0.7605
2016-09-07,1.328,0.2264
2016-09-08,1.341,0.9789
2016-09-09,1.331,-0.7457
2016-09-12,1.309,-1.6529
2016-09-13,1.308,-0.0764
2016-09-14,1.303,-0.3823
2016-09-19,1.309,0.4605
2016-09-20,1.312,0.2292
2016-09-21,1.316,0.3049
2016-09-22,1.317,0.076
2016-09-23,1.311,-0.4556
2016-09-26,1.292,-1.4493
2016-09-27,1.308,1.2384
2016-09-28,1.313,0.3823
2016-09-29,1.317,0.3046
2016-09-30,1.322,0.3797
2016-10-10,1.341,1.4372
2016-10-11,1.345,0.2983
2016-10-12,1.345,0.0
2016-10-13,1.341,-0.2974
2016-10-14,1.342,0.0746
2016-10-17,1.342,0.0
2016-10-18,1.361,1.4158
2016-10-19,1.361,0.0
2016-10-20,1.357,-0.2939
2016-10-21,1.35,-0.5158
2016-10-24,1.357,0.5185
2016-10-25,1.355,-0.1474
2016-10-26,1.357,0.1476
2016-10-27,1.349,-0.5895
