净值日期,单位净值,日增长率
2015-01-26,1.0,0.0
2015-01-30,0.999,0.0
2015-02-06,1.002,0.0
2015-02-09,1.002,0.0
2015-02-13,1.01,0.0
2015-02-17,1.013,0.0
2015-02-25,1.011,-0.1974
2015-02-27,1.015,0.0
2015-03-06,1.012,0.0
2015-03-09,1.014,0.1976
2015-03-10,1.018,0.3945
2015-03-11,1.017,-0.0982
2015-03-12,1.01,-0.6883
2015-03-13,1.021,1.0891
2015-03-16,1.044,2.2527
2015-03-17,1.047,0.2874
2015-03-18,1.065,1.7192
2015-03-19,1.06,-0.4695
2015-03-20,1.075,1.4151
2015-03-23,1.101,2.4186
2015-03-24,1.103,0.1817
2015-03-25,1.107,0.3626
2015-03-26,1.073,-3.0714
2015-03-27,1.079,0.5592
2015-03-30,1.08,0.0927
2015-03-31,1.088,0.7407
2015-04-01,1.111,2.114
2015-04-02,1.14,2.6103
2015-04-03,1.158,1.5789
2015-04-07,1.174,1.3817
2015-04-08,1.15,-2.0443
2015-04-09,1.129,-1.8261
2015-04-10,1.169,3.543
2015-04-13,1.192,1.9675
2015-04-14,1.193,0.0839
2015-04-15,1.139,-4.5264
2015-04-16,1.16,1.8437
2015-04-17,1.156,-0.3448
2015-04-20,1.119,-3.2007
2015-04-21,1.179,5.3619
2015-04-22,1.215,3.0534
2015-04-23,1.232,1.3992
2015-04-24,1.232,0.0
2015-04-27,1.238,0.487
2015-04-28,1.185,-4.2811
2015-04-29,1.212,2.2785
2015-04-30,1.222,0.8251
2015-05-04,1.221,-0.0818
2015-05-05,1.17,-4.1769
2015-05-06,1.191,1.7949
2015-05-07,1.174,-1.4274
2015-05-08,1.261,7.4106
2015-05-11,1.349,6.9786
2015-05-12,1.398,3.6323
2015-05-13,1.433,2.5036
2015-05-14,1.434,0.0698
2015-05-15,1.449,1.046
2015-05-18,1.52,4.8999
2015-05-19,1.576,3.6842
2015-05-20,1.652,4.8223
2015-05-21,1.748,5.8111
2015-05-22,1.724,-1.373
2015-05-25,1.717,-0.406
2015-05-26,1.799,4.7758
2015-05-27,1.817,1.0006
2015-05-28,1.693,-6.8244
2015-05-29,1.709,0.9451
2015-06-01,1.814,6.1439
2015-06-02,1.905,5.0165
2015-06-03,1.922,0.8924
2015-06-04,1.935,0.6764
2015-06-05,1.919,-0.8269
2015-06-08,1.842,-4.0125
2015-06-09,1.868,1.4115
2015-06-10,1.9,1.7131
2015-06-11,1.913,0.6842
2015-06-12,1.916,0.1568
2015-06-15,1.869,-2.453
2015-06-16,1.803,-3.5313
2015-06-17,1.866,3.4942
2015-06-18,1.765,-5.4126
2015-06-19,1.657,-6.119
2015-06-23,1.689,1.9312
2015-06-24,1.687,-0.1184
2015-06-25,1.562,-7.4096
2015-06-26,1.416,-9.347
2015-06-29,1.3,-8.1921
2015-06-30,1.374,5.6923
2015-07-01,1.29,-6.1135
2015-07-02,1.208,-6.3566
2015-07-03,1.125,-6.8709
2015-07-06,1.067,-5.1556
2015-07-07,0.989,-7.3102
2015-07-08,0.951,-3.8423
2015-07-09,1.004,5.5731
2015-07-10,1.06,5.5777
2015-07-13,1.165,9.9057
2015-07-14,1.193,2.4034
2015-07-15,1.139,-4.5264
2015-07-16,1.157,1.5803
2015-07-17,1.225,5.8773
2015-07-20,1.267,3.4286
2015-07-21,1.297,2.3678
2015-07-22,1.32,1.7733
2015-07-23,1.365,3.4091
2015-07-24,1.339,-1.9048
2015-07-27,1.221,-8.8125
2015-07-28,1.145,-6.2244
2015-07-29,1.208,5.5022
2015-07-30,1.154,-4.4702
2015-07-31,1.13,-2.0797
2015-08-03,1.064,-5.8407
2015-08-04,1.129,6.109
2015-08-05,1.105,-2.1258
2015-08-06,1.092,-1.1765
2015-08-07,1.147,5.0366
2015-08-10,1.217,6.1029
2015-08-11,1.233,1.3147
2015-08-12,1.217,-1.2976
2015-08-13,1.256,3.2046
2015-08-14,1.256,0.0
2015-08-17,1.252,-0.3185
2015-08-18,1.148,-8.3067
2015-08-19,1.173,2.1777
2015-08-20,1.138,-2.9838
2015-08-21,1.062,-6.6784
2015-08-24,0.973,-8.3804
2015-08-25,0.898,-7.7081
2015-08-26,0.851,-5.2339
2015-08-27,0.873,2.5852
2015-08-28,0.928,6.3001
2015-08-31,0.874,-5.819
2015-09-01,0.808,-7.5515
2015-09-02,0.778,-3.7129
2015-09-07,0.806,3.599
2015-09-08,0.849,5.335
2015-09-09,0.887,4.4759
2015-09-10,0.88,-0.7892
2015-09-11,0.894,1.5909
2015-09-14,0.823,-7.9418
2015-09-15,0.774,-5.9538
2015-09-16,0.838,8.2687
2015-09-17,0.834,-0.4773
2015-09-18,0.85,1.9185
2015-09-21,0.891,4.8235
2015-09-22,0.894,0.3367
2015-09-23,0.892,-0.2237
2015-09-24,0.914,2.4664
2015-09-25,0.87,-4.814
2015-09-28,0.905,4.023
2015-09-29,0.886,-2.0994
2015-09-30,0.883,-0.3386
2015-10-08,0.921,4.3035
2015-10-09,0.938,1.8458
2015-10-12,0.979,4.371
2015-10-13,0.994,1.5322
2015-10-14,0.971,-2.3139
2015-10-15,1.013,4.3254
2015-10-16,1.019,0.5923
2015-10-19,1.008,-1.0795
