净值日期,单位净值,日增长率
2014-12-02,1.0,0.0
2014-12-05,0.996,0.0
2014-12-12,0.969,0.0
2014-12-19,1.002,0.0
2014-12-26,1.031,0.0
2014-12-31,1.099,0.0
2015-01-09,1.075,0.0
2015-01-16,1.08,0.0
2015-01-23,1.105,0.0
2015-01-30,1.121,0.0
2015-02-02,1.125,0.3568
2015-02-03,1.157,2.8444
2015-02-04,1.152,-0.4322
2015-02-05,1.16,0.6944
2015-02-06,1.144,-1.3793
2015-02-09,1.131,-1.1364
2015-02-10,1.157,2.2989
2015-02-11,1.186,2.5065
2015-02-12,1.194,0.6745
2015-02-13,1.208,1.1725
2015-02-16,1.256,3.9735
2015-02-17,1.255,-0.0796
2015-02-25,1.222,-2.6295
2015-02-26,1.227,0.4092
2015-02-27,1.232,0.4075
2015-03-02,1.25,1.461
2015-03-03,1.229,-1.68
2015-03-04,1.251,1.7901
2015-03-05,1.272,1.6787
2015-03-06,1.241,-2.4371
2015-03-09,1.269,2.2562
2015-03-10,1.302,2.6005
2015-03-11,1.288,-1.0753
2015-03-12,1.272,-1.2422
2015-03-13,1.292,1.5723
2015-03-16,1.351,4.5666
2015-03-17,1.356,0.3701
2015-03-18,1.386,2.2124
2015-03-19,1.384,-0.1443
2015-03-20,1.399,1.0838
2015-03-23,1.449,3.574
2015-03-24,1.498,3.3816
2015-03-25,1.527,1.9359
2015-03-26,1.475,-3.4054
2015-03-27,1.475,0.0
2015-03-30,1.473,-0.1356
2015-03-31,1.46,-0.8826
2015-04-01,1.499,2.6712
2015-04-02,1.509,0.6671
2015-04-03,1.523,0.9278
2015-04-07,1.549,1.7072
2015-04-08,1.546,-0.1937
2015-04-09,1.521,-1.6171
2015-04-10,1.552,2.0381
2015-04-13,1.563,0.7088
2015-04-14,1.562,-0.064
2015-04-15,1.527,-2.2407
2015-04-16,1.559,2.0956
2015-04-17,1.583,1.5394
2015-04-20,1.575,-0.5054
2015-04-21,1.607,2.0317
2015-04-22,1.648,2.5513
2015-04-23,1.647,-0.0607
2015-04-24,1.628,-1.1536
2015-04-27,1.659,1.9042
2015-04-28,1.64,-1.1453
2015-04-29,1.645,0.3049
2015-04-30,1.652,0.4255
2015-05-04,1.676,1.4528
2015-05-05,1.61,-3.9379
2015-05-06,1.606,-0.2484
2015-05-07,1.591,-0.934
2015-05-08,1.655,4.0226
2015-05-11,1.73,4.5317
2015-05-12,1.783,3.0636
2015-05-13,1.763,-1.1217
2015-05-14,1.762,-0.0567
2015-05-15,1.764,0.1135
2015-05-18,1.854,5.102
2015-05-19,1.885,1.6721
2015-05-20,1.949,3.3952
2015-05-21,2.033,4.3099
2015-05-22,2.039,0.2951
2015-05-25,2.023,-0.7847
2015-05-26,2.101,3.8557
2015-05-27,2.138,1.7611
2015-05-28,2.035,-4.8176
2015-05-29,2.085,2.457
2015-06-01,2.196,5.3237
2015-06-02,2.318,5.5556
2015-06-03,2.34,0.9491
2015-06-04,2.299,-1.7521
2015-06-05,2.217,-3.5668
2015-06-08,2.096,-5.4578
2015-06-09,2.08,-0.7634
2015-06-10,2.169,4.2788
2015-06-11,2.208,1.7981
2015-06-12,2.217,0.4076
2015-06-15,2.098,-5.3676
2015-06-16,1.988,-5.2431
2015-06-17,2.019,1.5594
2015-06-18,1.937,-4.0614
2015-06-19,1.838,-5.111
2015-06-23,1.875,2.0131
2015-06-24,1.908,1.76
2015-06-25,1.866,-2.2013
2015-06-26,1.754,-6.0021
2015-06-29,1.761,0.3991
2015-06-30,1.847,4.8836
2015-07-01,1.77,-4.1689
2015-07-02,1.718,-2.9379
2015-07-03,1.621,-5.6461
2015-07-06,1.621,0.0
2015-07-07,1.602,-1.1721
2015-07-08,1.543,-3.6829
2015-07-09,1.599,3.6293
2015-07-10,1.651,3.252
2015-07-13,1.673,1.3325
2015-07-14,1.652,-1.2552
2015-07-15,1.611,-2.4818
2015-07-16,1.605,-0.3724
2015-07-17,1.641,2.243
2015-07-20,1.638,-0.1828
2015-07-21,1.656,1.0989
2015-07-22,1.658,0.1208
2015-07-23,1.697,2.3522
2015-07-24,1.659,-2.2392
2015-07-27,1.531,-7.7155
2015-07-28,1.476,-3.5924
2015-07-29,1.51,2.3035
2015-07-30,1.471,-2.5828
2015-07-31,1.453,-1.2237
2015-08-03,1.414,-2.6841
2015-08-04,1.451,2.6167
2015-08-05,1.435,-1.1027
2015-08-06,1.427,-0.5575
2015-08-07,1.455,1.9622
2015-08-10,1.51,3.7801
2015-08-11,1.512,0.1325
2015-08-12,1.487,-1.6534
2015-08-13,1.51,1.5467
2015-08-14,1.51,0.0
2015-08-17,1.51,0.0
2015-08-18,1.416,-6.2252
2015-08-19,1.446,2.1186
2015-08-20,1.408,-2.6279
2015-08-21,1.337,-5.0426
2015-08-24,1.226,-8.3022
2015-08-25,1.134,-7.5041
2015-08-26,1.127,-0.6173
2015-08-27,1.183,4.9689
2015-08-28,1.249,5.579
2015-08-31,1.233,-1.281
2015-09-01,1.193,-3.2441
2015-09-02,1.182,-0.922
2015-09-07,1.165,-1.4382
2015-09-08,1.209,3.7768
2015-09-09,1.249,3.3085
2015-09-10,1.244,-0.4003
2015-09-11,1.25,0.4823
2015-09-14,1.166,-6.72
2015-09-15,1.128,-3.259
2015-09-16,1.204,6.7376
2015-09-17,1.188,-1.3289
2015-09-18,1.216,2.3569
2015-09-21,1.26,3.6184
2015-09-22,1.257,-0.2381
2015-09-23,1.24,-1.3524
2015-09-24,1.25,0.8065
2015-09-25,1.205,-3.6
2015-09-28,1.251,3.8174
2015-09-29,1.243,-0.6395
2015-09-30,1.24,-0.2414
2015-10-08,1.283,3.4677
2015-10-09,1.291,0.6235
2015-10-12,1.33,3.0209
2015-10-13,1.339,0.6767
2015-10-14,1.321,-1.3443
2015-10-15,1.353,2.4224
2015-10-16,1.365,0.8869
2015-10-19,1.358,-0.5128
2015-10-20,1.389,2.2828
2015-10-21,1.315,-5.3276
2015-10-22,1.36,3.4221
2015-10-23,1.393,2.4265
2015-10-26,1.399,0.4307
2015-10-27,1.399,0.0
2015-10-28,1.371,-2.0014
2015-10-29,1.371,0.0
2015-10-30,1.385,1.0212
2015-11-02,1.368,-1.2274
2015-11-03,1.366,-0.1462
2015-11-04,1.437,5.1977
2015-11-05,1.425,-0.8351
2015-11-06,1.469,3.0877
2015-11-09,1.5,2.1103
2015-11-10,1.526,1.7333
2015-11-11,1.567,2.6868
2015-11-12,1.559,-0.5105
2015-11-13,1.506,-3.3996
2015-11-16,1.537,2.0584
2015-11-17,1.498,-2.5374
2015-11-18,1.468,-2.0027
2015-11-19,1.543,5.109
2015-11-20,1.574,2.0091
2015-11-23,1.526,-3.0496
2015-11-24,1.552,1.7038
2015-11-25,1.584,2.0619
2015-11-26,1.557,-1.7045
2015-11-27,1.459,-6.2942
2015-11-30,1.486,1.8506
2015-12-01,1.438,-3.2301
2015-12-02,1.415,-1.5994
2015-12-03,1.473,4.0989
2015-12-04,1.465,-0.5431
2015-12-07,1.512,3.2082
2015-12-08,1.503,-0.5952
2015-12-09,1.545,2.7944
2015-12-10,1.519,-1.6828
2015-12-11,1.484,-2.3041
2015-12-14,1.486,0.1348
2015-12-15,1.518,2.1534
2015-12-16,1.511,-0.4611
2015-12-17,1.544,2.184
2015-12-18,1.549,0.3238
2015-12-21,1.53,-1.2266
2015-12-22,1.551,1.3725
2015-12-23,1.534,-1.0961
2015-12-24,1.528,-0.3911
2015-12-25,1.532,0.2618
2015-12-28,1.51,-1.436
2015-12-29,1.541,2.053
2015-12-30,1.553,0.7787
2015-12-31,1.512,-2.6401
2016-01-04,1.378,-8.8624
2016-01-05,1.341,-2.6851
2016-01-06,1.365,1.7897
2016-01-07,1.246,-8.7179
2016-01-08,1.235,-0.8828
2016-01-11,1.162,-5.9109
2016-01-12,1.181,1.6351
2016-01-13,1.143,-3.2176
2016-01-14,1.196,4.6369
2016-01-15,1.163,-2.7592
2016-01-18,1.187,2.0636
2016-01-19,1.229,3.5383
2016-01-20,1.21,-1.546
2016-01-21,1.136,-6.1157
2016-01-22,1.158,1.9366
2016-01-25,1.16,0.1727
2016-01-26,1.081,-6.8103
2016-01-27,1.06,-1.9426
2016-01-28,1.017,-4.0566
2016-01-29,1.058,4.0315
2016-02-01,1.057,-0.0945
2016-02-02,1.097,3.7843
2016-02-03,1.109,1.0939
2016-02-04,1.131,1.9838
2016-02-05,1.117,-1.2378
2016-02-15,1.12,0.2686
2016-02-16,1.156,3.2143
2016-02-17,1.158,0.173
2016-02-18,1.147,-0.9499
2016-02-19,1.152,0.4359
2016-02-22,1.167,1.3021
2016-02-23,1.159,-0.6855
