净值日期,单位净值,日增长率
2015-06-24,1.0,0.0
2015-06-26,0.971,0.0
2015-06-29,0.971,0.0
2015-06-30,0.973,0.206
2015-07-01,0.973,0.0
2015-07-02,0.973,0.0
2015-07-03,0.915,-5.9609
2015-07-06,0.915,0.0
2015-07-10,0.889,0.0
2015-07-17,0.907,0.0
2015-07-20,0.907,0.0
2015-07-23,0.933,0.0
2015-07-24,0.932,-0.1072
2015-07-27,0.907,-2.6824
2015-07-28,0.894,-1.4333
2015-07-29,0.908,1.566
2015-07-30,0.899,-0.9912
2015-07-31,0.89,-1.0011
2015-08-03,0.873,-1.9101
2015-08-04,0.891,2.0619
2015-08-05,0.889,-0.2245
2015-08-06,0.888,-0.1125
2015-08-07,0.903,1.6892
2015-08-10,0.924,2.3256
2015-08-11,0.925,0.1082
2015-08-12,0.921,-0.4324
2015-08-13,0.937,1.7372
2015-08-14,0.942,0.5336
2015-08-17,0.95,0.8493
2015-08-18,0.918,-3.3684
2015-08-19,0.929,1.1983
2015-08-20,0.912,-1.8299
2015-08-21,0.885,-2.9605
2015-08-24,0.848,-4.1808
2015-08-25,0.818,-3.5377
2015-08-26,0.801,-2.0782
2015-08-27,0.817,1.9975
2015-08-28,0.841,2.9376
2015-08-31,0.824,-2.0214
2015-09-01,0.809,-1.8204
2015-09-02,0.805,-0.4944
2015-09-07,0.807,0.2484
2015-09-08,0.818,1.3631
2015-09-09,0.827,1.1002
2015-09-10,0.823,-0.4837
2015-09-11,0.825,0.243
2015-09-14,0.805,-2.4242
2015-09-15,0.787,-2.236
2015-09-16,0.811,3.0496
2015-09-17,0.806,-0.6165
2015-09-18,0.816,1.2407
2015-09-21,0.833,2.0833
2015-09-22,0.835,0.2401
2015-09-23,0.832,-0.3593
2015-09-24,0.838,0.7212
2015-09-25,0.821,-2.0286
2015-09-28,0.834,1.5834
2015-09-29,0.831,-0.3597
2015-09-30,0.83,-0.1203
2015-10-08,0.847,2.0482
2015-10-09,0.855,0.9445
2015-10-12,0.872,1.9883
2015-10-13,0.876,0.4587
2015-10-14,0.864,-1.3699
2015-10-15,0.885,2.4306
2015-10-16,0.887,0.226
