净值日期,单位净值,日增长率
2015-03-24,1.0,0.0
2015-03-27,1.002,0.0
2015-03-30,1.003,0.0998
2015-04-03,1.011,0.0
2015-04-09,1.006,0.0
2015-04-10,1.015,0.8946
2015-04-17,1.011,0.0
2015-04-24,1.039,0.0
2015-04-30,1.052,0.0
2015-05-08,1.061,0.0
2015-05-15,1.13,0.0
2015-05-22,1.245,0.0
2015-05-29,1.266,0.0
2015-06-05,1.355,0.0
2015-06-12,1.395,0.0
2015-06-15,1.353,-3.0108
2015-06-16,1.308,-3.3259
2015-06-17,1.331,1.7584
2015-06-18,1.293,-2.855
2015-06-19,1.232,-4.7177
2015-06-23,1.241,0.7305
2015-06-24,1.259,1.4504
2015-06-25,1.22,-3.0977
2015-06-26,1.152,-5.5738
2015-06-29,1.111,-3.559
2015-06-30,1.176,5.8506
2015-07-01,1.125,-4.3367
2015-07-02,1.042,-7.3778
2015-07-03,0.974,-6.5259
2015-07-06,0.953,-2.1561
2015-07-07,0.916,-3.8825
2015-07-08,0.887,-3.1659
2015-07-09,0.902,1.6911
2015-07-10,0.936,3.7694
2015-07-13,0.992,5.9829
2015-07-14,1.019,2.7218
2015-07-15,0.972,-4.6124
2015-07-16,0.987,1.5432
2015-07-17,1.043,5.6738
2015-07-20,1.071,2.6846
2015-07-21,1.101,2.8011
2015-07-22,1.121,1.8165
2015-07-23,1.157,3.2114
2015-07-24,1.137,-1.7286
2015-07-27,1.062,-6.5963
2015-07-28,1.03,-3.0132
2015-07-29,1.067,3.5922
2015-07-30,1.043,-2.2493
2015-07-31,1.027,-1.534
2015-08-03,1.0,-2.629
2015-08-04,1.04,4.0
2015-08-05,1.034,-0.5769
2015-08-06,1.033,-0.0967
2015-08-07,1.062,2.8074
2015-08-10,1.11,4.5198
2015-08-11,1.114,0.3604
2015-08-12,1.096,-1.6158
2015-08-13,1.117,1.9161
2015-08-14,1.118,0.0895
2015-08-17,1.134,1.4311
2015-08-18,1.071,-5.5556
2015-08-19,1.082,1.0271
2015-08-20,1.059,-2.1257
2015-08-21,1.022,-3.4939
2015-08-24,0.97,-5.0881
2015-08-25,0.932,-3.9175
2015-08-26,0.902,-3.2189
2015-08-27,0.956,5.9867
2015-08-28,1.019,6.59
2015-08-31,0.987,-3.1403
2015-09-01,0.933,-5.4711
2015-09-02,0.922,-1.179
2015-09-07,0.929,0.7592
2015-09-08,0.96,3.3369
2015-09-09,0.979,1.9792
2015-09-10,0.969,-1.0215
2015-09-11,0.972,0.3096
2015-09-14,0.936,-3.7037
2015-09-15,0.908,-2.9915
2015-09-16,0.946,4.185
2015-09-17,0.945,-0.1057
2015-09-18,0.973,2.963
2015-09-21,0.996,2.3638
2015-09-22,1.004,0.8032
2015-09-23,0.984,-1.992
2015-09-24,0.985,0.1016
2015-09-25,0.965,-2.0305
2015-09-28,0.988,2.3834
2015-09-29,0.976,-1.2146
2015-09-30,0.982,0.6148
2015-10-08,1.024,4.277
2015-10-09,1.04,1.5625
2015-10-12,1.077,3.5577
2015-10-13,1.088,1.0214
2015-10-14,1.066,-2.0221
2015-10-15,1.095,2.7205
2015-10-16,1.108,1.1872
2015-10-19,1.102,-0.5415
2015-10-20,1.116,1.2704
2015-10-21,1.059,-5.1075
2015-10-22,1.083,2.2663
2015-10-23,1.105,2.0314
2015-10-26,1.102,-0.2715
2015-10-27,1.11,0.726
2015-10-28,1.092,-1.6216
2015-10-29,1.097,0.4579
2015-10-30,1.102,0.4558
2015-11-02,1.096,-0.5445
2015-11-03,1.095,-0.0912
2015-11-04,1.14,4.1096
2015-11-05,1.141,0.0877
2015-11-06,1.171,2.6293
2015-11-09,1.191,1.7079
2015-11-10,1.189,-0.1679
2015-11-11,1.206,1.4298
2015-11-12,1.204,-0.1658
2015-11-13,1.176,-2.3256
2015-11-16,1.204,2.381
2015-11-17,1.191,-1.0797
2015-11-18,1.173,-1.5113
2015-11-19,1.223,4.2626
2015-11-20,1.254,2.5348
2015-11-23,1.231,-1.8341
2015-11-24,1.237,0.4874
2015-11-25,1.264,2.1827
2015-11-26,1.279,1.1867
2015-11-27,1.205,-5.7858
2015-11-30,1.222,1.4108
2015-12-01,1.207,-1.2275
2015-12-02,1.195,-0.9942
2015-12-03,1.228,2.7615
2015-12-04,1.223,-0.4072
2015-12-07,1.236,1.063
2015-12-08,1.232,-0.3236
2015-12-09,1.233,0.0812
2015-12-10,1.227,-0.4866
2015-12-11,1.215,-0.978
2015-12-14,1.214,-0.0823
2015-12-15,1.231,1.4003
2015-12-16,1.245,1.1373
2015-12-17,1.28,2.8112
2015-12-18,1.273,-0.5469
2015-12-21,1.274,0.0786
2015-12-22,1.279,0.3925
2015-12-23,1.257,-1.7201
2015-12-24,1.26,0.2387
2015-12-25,1.282,1.746
2015-12-28,1.256,-2.0281
2015-12-29,1.266,0.7962
2015-12-30,1.282,1.2638
2015-12-31,1.284,0.156
2016-01-04,1.184,-7.7882
2016-01-05,1.164,-1.6892
2016-01-06,1.193,2.4914
2016-01-07,1.102,-7.6278
2016-01-08,1.11,0.726
2016-01-11,1.054,-5.045
2016-01-12,1.056,0.1898
2016-01-13,1.015,-3.8826
2016-01-14,1.047,3.1527
2016-01-15,1.018,-2.7698
2016-01-18,1.026,0.7859
2016-01-19,1.059,3.2164
2016-01-20,1.056,-0.2833
2016-01-21,1.013,-4.072
2016-01-22,1.027,1.382
2016-01-25,1.035,0.779
2016-01-26,0.97,-6.2802
2016-01-27,0.961,-0.9278
2016-01-28,0.918,-4.4745
2016-01-29,0.953,3.8126
2016-02-01,0.948,-0.5247
2016-02-02,0.982,3.5865
2016-02-03,0.99,0.8147
2016-02-04,1.007,1.7172
2016-02-05,0.995,-1.1917
2016-02-15,1.002,0.7035
2016-02-16,1.042,3.992
2016-02-17,1.057,1.4395
2016-02-18,1.05,-0.6623
2016-02-19,1.054,0.381
2016-02-22,1.073,1.8027
2016-02-23,1.065,-0.7456
2016-02-24,1.06,-0.4695
2016-02-25,0.986,-6.9811
2016-02-26,0.983,-0.3043
2016-02-29,0.941,-4.2726
2016-03-01,0.955,1.4878
2016-03-02,0.993,3.9791
2016-03-03,0.993,0.0
2016-03-04,0.97,-2.3162
2016-03-07,0.986,1.6495
2016-03-08,0.995,0.9128
2016-03-09,0.984,-1.1055
2016-03-10,0.965,-1.9309
2016-03-11,0.968,0.3109
2016-03-14,0.999,3.2025
2016-03-15,0.999,0.0
2016-03-16,0.992,-0.7007
2016-03-17,1.024,3.2258
2016-03-18,1.062,3.7109
2016-03-21,1.087,2.354
2016-03-22,1.082,-0.46
2016-03-23,1.088,0.5545
2016-03-24,1.075,-1.1949
2016-03-25,1.074,-0.093
2016-03-28,1.069,-0.4655
2016-03-29,1.044,-2.3386
2016-03-30,1.078,3.2567
2016-03-31,1.076,-0.1855
2016-04-01,1.074,-0.1859
2016-04-05,1.101,2.514
2016-04-06,1.105,0.3633
2016-04-07,1.089,-1.448
2016-04-08,1.079,-0.9183
2016-04-11,1.105,2.4096
2016-04-12,1.095,-0.905
2016-04-13,1.115,1.8265
2016-04-14,1.123,0.7175
2016-04-15,1.123,0.0
2016-04-18,1.109,-1.2467
2016-04-19,1.11,0.0902
2016-04-20,1.078,-2.8829
2016-04-21,1.064,-1.2987
2016-04-22,1.071,0.6579
2016-04-25,1.072,0.0934
2016-04-26,1.085,1.2127
2016-04-27,1.085,0.0
2016-04-28,1.078,-0.6452
2016-04-29,1.078,0.0
2016-05-03,1.105,2.5046
2016-05-04,1.107,0.181
2016-05-05,1.108,0.0903
2016-05-06,1.07,-3.4296
2016-05-09,1.046,-2.243
2016-05-10,1.054,0.7648
2016-05-11,1.057,0.2846
2016-05-12,1.056,-0.0946
2016-05-13,1.049,-0.6629
2016-05-16,1.067,1.7159
2016-05-17,1.064,-0.2812
2016-05-18,1.046,-1.6917
2016-05-19,1.048,0.1912
2016-05-20,1.054,0.5725
2016-05-23,1.065,1.0436
2016-05-24,1.056,-0.8451
