净值日期,单位净值,日增长率
2014-11-28,1.0,0.0
2014-12-05,1.0,0.0
2014-12-12,0.993,0.0
2014-12-19,0.978,0.0
2014-12-26,0.973,0.0
2014-12-31,0.98,0.0
2015-01-09,1.01,0.0
2015-01-16,1.024,0.0
2015-01-23,1.033,0.0
2015-01-26,1.043,0.9681
2015-01-27,1.043,0.0
2015-01-28,1.039,-0.3835
2015-01-29,1.028,-1.0587
2015-01-30,1.026,-0.1946
2015-02-02,1.024,-0.1949
2015-02-03,1.03,0.5859
2015-02-04,1.023,-0.6796
2015-02-05,1.013,-0.9775
2015-02-06,0.999,-1.382
2015-02-09,1.001,0.2002
2015-02-10,1.006,0.4995
2015-02-11,1.017,1.0934
2015-02-12,1.018,0.0983
2015-02-13,1.034,1.5717
2015-02-16,1.044,0.9671
2015-02-17,1.048,0.3831
2015-02-25,1.051,0.2863
2015-02-26,1.056,0.4757
2015-02-27,1.059,0.2841
2015-03-02,1.067,0.7554
2015-03-03,1.068,0.0937
2015-03-04,1.101,3.0899
2015-03-05,1.107,0.545
2015-03-06,1.08,-2.439
2015-03-09,1.091,1.0185
2015-03-10,1.106,1.3749
2015-03-11,1.095,-0.9946
2015-03-12,1.095,0.0
2015-03-13,1.106,1.0046
2015-03-16,1.136,2.7125
2015-03-17,1.14,0.3521
2015-03-18,1.156,1.4035
2015-03-19,1.151,-0.4325
2015-03-20,1.163,1.0426
2015-03-23,1.177,1.2038
2015-03-24,1.191,1.1895
2015-03-25,1.202,0.9236
2015-03-26,1.187,-1.2479
2015-03-27,1.199,1.011
2015-03-30,1.212,1.0842
2015-03-31,1.214,0.165
2015-04-01,1.244,2.4712
2015-04-02,1.255,0.8842
2015-04-03,1.267,0.9562
2015-04-07,1.297,2.3678
2015-04-08,1.28,-1.3107
2015-04-09,1.277,-0.2344
2015-04-10,1.314,2.8974
2015-04-13,1.359,3.4247
2015-04-14,1.367,0.5887
2015-04-15,1.32,-3.4382
2015-04-16,1.345,1.8939
2015-04-17,1.343,-0.1487
2015-04-20,1.303,-2.9784
2015-04-21,1.352,3.7606
2015-04-22,1.379,1.997
2015-04-23,1.377,-0.145
2015-04-24,1.381,0.2905
2015-04-27,1.391,0.7241
2015-04-28,1.355,-2.5881
2015-04-29,1.376,1.5498
2015-04-30,1.376,0.0
2015-05-04,1.375,-0.0727
2015-05-05,1.353,-1.6
2015-05-06,1.351,-0.1478
2015-05-07,1.33,-1.5544
2015-05-08,1.367,2.782
2015-05-11,1.417,3.6576
2015-05-12,1.434,1.1997
2015-05-13,1.437,0.2092
2015-05-14,1.435,-0.1392
2015-05-15,1.418,-1.1847
2015-05-18,1.448,2.1157
2015-05-19,1.476,1.9337
2015-05-20,1.488,0.813
2015-05-21,1.545,3.8306
2015-05-22,1.561,1.0356
2015-05-25,1.594,2.114
2015-05-26,1.623,1.8193
2015-05-27,1.636,0.801
2015-05-28,1.552,-5.1345
2015-05-29,1.588,2.3196
2015-06-01,1.665,4.8489
2015-06-02,1.693,1.6817
2015-06-03,1.691,-0.1181
2015-06-04,1.678,-0.7688
2015-06-05,1.691,0.7747
2015-06-08,1.675,-0.9462
2015-06-09,1.656,-1.1343
2015-06-10,1.685,1.7512
2015-06-11,1.716,1.8398
2015-06-12,1.728,0.6993
2015-06-15,1.69,-2.1991
2015-06-16,1.644,-2.7219
2015-06-17,1.661,1.0341
2015-06-18,1.593,-4.0939
2015-06-19,1.508,-5.3358
2015-06-23,1.55,2.7851
2015-06-24,1.569,1.2258
2015-06-25,1.508,-3.8878
2015-06-26,1.385,-8.1565
2015-06-29,1.312,-5.2708
2015-06-30,1.404,7.0122
2015-07-01,1.362,-2.9915
2015-07-02,1.298,-4.699
2015-07-03,1.249,-3.775
2015-07-06,1.246,-0.2402
2015-07-07,1.169,-6.1798
2015-07-08,1.118,-4.3627
2015-07-09,1.181,5.6351
2015-07-10,1.244,5.3345
2015-07-13,1.293,3.9389
2015-07-14,1.307,1.0828
2015-07-15,1.249,-4.4376
2015-07-16,1.267,1.4412
2015-07-17,1.327,4.7356
2015-07-20,1.331,0.3014
2015-07-21,1.349,1.3524
2015-07-22,1.348,-0.0741
2015-07-23,1.379,2.2997
2015-07-24,1.355,-1.7404
2015-07-27,1.254,-7.4539
2015-07-28,1.257,0.2392
2015-07-29,1.301,3.5004
2015-07-30,1.256,-3.4589
2015-07-31,1.267,0.8758
2015-08-03,1.271,0.3157
2015-08-04,1.318,3.6979
2015-08-05,1.296,-1.6692
2015-08-06,1.281,-1.1574
2015-08-07,1.306,1.9516
2015-08-10,1.358,3.9816
2015-08-11,1.348,-0.7364
2015-08-12,1.325,-1.7062
2015-08-13,1.337,0.9057
2015-08-14,1.346,0.6731
2015-08-17,1.37,1.7831
2015-08-18,1.299,-5.1825
2015-08-19,1.33,2.3865
2015-08-20,1.287,-3.2331
2015-08-21,1.233,-4.1958
2015-08-24,1.137,-7.7859
2015-08-25,1.061,-6.6843
2015-08-26,1.059,-0.1885
2015-08-27,1.103,4.1549
2015-08-28,1.153,4.5331
2015-08-31,1.127,-2.255
2015-09-01,1.086,-3.638
2015-09-02,1.09,0.3683
2015-09-07,1.084,-0.5505
2015-09-08,1.124,3.69
2015-09-09,1.139,1.3345
2015-09-10,1.132,-0.6146
2015-09-11,1.127,-0.4417
2015-09-14,1.082,-3.9929
2015-09-15,1.043,-3.6044
2015-09-16,1.107,6.1361
2015-09-17,1.08,-2.439
2015-09-18,1.085,0.463
2015-09-21,1.111,2.3963
2015-09-22,1.118,0.6301
2015-09-23,1.103,-1.3417
2015-09-24,1.116,1.1786
2015-09-25,1.088,-2.509
2015-09-28,1.102,1.2868
2015-09-29,1.08,-1.9964
2015-09-30,1.081,0.0926
2015-10-08,1.129,4.4403
2015-10-09,1.138,0.7972
2015-10-12,1.167,2.5483
2015-10-13,1.166,-0.0857
2015-10-14,1.154,-1.0292
2015-10-15,1.176,1.9064
2015-10-16,1.181,0.4252
2015-10-19,1.178,-0.254
2015-10-20,1.191,1.1036
2015-10-21,1.153,-3.1906
2015-10-22,1.197,3.8161
2015-10-23,1.235,3.1746
2015-10-26,1.237,0.1619
2015-10-27,1.24,0.2425
2015-10-28,1.211,-2.3387
2015-10-29,1.221,0.8258
2015-10-30,1.217,-0.3276
2015-11-02,1.194,-1.8899
2015-11-03,1.186,-0.67
2015-11-04,1.24,4.5531
2015-11-05,1.236,-0.3226
2015-11-06,1.254,1.4563
2015-11-09,1.266,0.9569
2015-11-10,1.261,-0.3949
2015-11-11,1.281,1.586
2015-11-12,1.287,0.4684
2015-11-13,1.26,-2.0979
2015-11-16,1.278,1.4286
2015-11-17,1.267,-0.8607
2015-11-18,1.247,-1.5785
2015-11-19,1.267,1.6038
2015-11-20,1.272,0.3946
2015-11-23,1.267,-0.3931
2015-11-24,1.272,0.3946
2015-11-25,1.286,1.1006
2015-11-26,1.274,-0.9331
2015-11-27,1.215,-4.6311
2015-11-30,1.212,-0.2469
2015-12-01,1.229,1.4026
2015-12-02,1.239,0.8137
2015-12-03,1.258,1.5335
2015-12-04,1.253,-0.3975
2015-12-07,1.275,1.7558
2015-12-08,1.253,-1.7255
2015-12-09,1.246,-0.5587
2015-12-10,1.253,0.5618
2015-12-11,1.243,-0.7981
2015-12-14,1.257,1.1263
2015-12-15,1.261,0.3182
2015-12-16,1.262,0.0793
2015-12-17,1.285,1.8225
2015-12-18,1.294,0.7004
2015-12-21,1.335,3.1685
2015-12-22,1.333,-0.1498
2015-12-23,1.334,0.075
2015-12-24,1.323,-0.8246
2015-12-25,1.328,0.3779
2015-12-28,1.3,-2.1084
2015-12-29,1.309,0.6923
2015-12-30,1.312,0.2292
2015-12-31,1.306,-0.4573
2016-01-04,1.209,-7.4273
2016-01-05,1.2,-0.7444
2016-01-06,1.218,1.5
2016-01-07,1.127,-7.4713
2016-01-08,1.149,1.9521
2016-01-11,1.081,-5.9182
2016-01-12,1.094,1.2026
2016-01-13,1.059,-3.1993
2016-01-14,1.093,3.2106
2016-01-15,1.062,-2.8362
2016-01-18,1.074,1.1299
2016-01-19,1.106,2.9795
2016-01-20,1.093,-1.1754
2016-01-21,1.066,-2.4703
2016-01-22,1.075,0.8443
2016-01-25,1.086,1.0233
2016-01-26,1.024,-5.709
2016-01-27,1.019,-0.4883
2016-01-28,0.991,-2.7478
2016-01-29,1.019,2.8254
2016-02-01,1.012,-0.6869
2016-02-02,1.037,2.4704
2016-02-03,1.039,0.1929
2016-02-04,1.056,1.6362
2016-02-05,1.054,-0.1894
2016-02-15,1.059,0.4744
2016-02-16,1.089,2.8329
2016-02-17,1.092,0.2755
2016-02-18,1.086,-0.5495
2016-02-19,1.088,0.1842
2016-02-22,1.102,1.2868
2016-02-23,1.096,-0.5445
2016-02-24,1.095,-0.0912
2016-02-25,1.031,-5.8447
2016-02-26,1.038,0.679
2016-02-29,1.0,-3.6609
2016-03-01,1.012,1.2
2016-03-02,1.047,3.4585
2016-03-03,1.049,0.191
2016-03-04,1.033,-1.5253
2016-03-07,1.043,0.9681
2016-03-08,1.048,0.4794
2016-03-09,1.04,-0.7634
2016-03-10,1.023,-1.6346
2016-03-11,1.022,-0.0978
2016-03-14,1.047,2.4462
2016-03-15,1.05,0.2865
2016-03-16,1.047,-0.2857
2016-03-17,1.069,2.1012
2016-03-18,1.089,1.8709
2016-03-21,1.107,1.6529
2016-03-22,1.101,-0.542
2016-03-23,1.102,0.0908
2016-03-24,1.086,-1.4519
2016-03-25,1.095,0.8287
2016-03-28,1.094,-0.0913
2016-03-29,1.074,-1.8282
2016-03-30,1.107,3.0726
2016-03-31,1.108,0.0903
2016-04-01,1.101,-0.6318
2016-04-05,1.121,1.8165
2016-04-06,1.128,0.6244
2016-04-07,1.113,-1.3298
2016-04-08,1.103,-0.8985
2016-04-11,1.125,1.9946
2016-04-12,1.115,-0.8889
2016-04-13,1.124,0.8072
2016-04-14,1.129,0.4448
2016-04-15,1.127,-0.1771
2016-04-18,1.112,-1.331
2016-04-19,1.114,0.1799
2016-04-20,1.079,-3.1418
2016-04-21,1.07,-0.8341
2016-04-22,1.079,0.8411
2016-04-25,1.072,-0.6487
2016-04-26,1.082,0.9328
2016-04-27,1.078,-0.3697
2016-04-28,1.075,-0.2783
2016-04-29,1.075,0.0
2016-05-03,1.103,2.6047
2016-05-04,1.103,0.0
2016-05-05,1.103,0.0
2016-05-06,1.074,-2.6292
2016-05-09,1.053,-1.9553
2016-05-10,1.052,-0.095
2016-05-11,1.07,1.711
2016-05-12,1.066,-0.3738
2016-05-13,1.063,-0.2814
2016-05-16,1.075,1.1289
2016-05-17,1.075,0.0
2016-05-18,1.058,-1.5814
2016-05-19,1.057,-0.0945
2016-05-20,1.063,0.5676
2016-05-23,1.067,0.3763
2016-05-24,1.06,-0.656
2016-05-25,1.053,-0.6604
2016-05-26,1.055,0.1899
2016-05-27,1.053,-0.1896
2016-05-30,1.046,-0.6648
2016-05-31,1.078,3.0593
2016-06-01,1.078,0.0
2016-06-02,1.081,0.2783
2016-06-03,1.095,1.2951
2016-06-06,1.095,0.0
2016-06-07,1.094,-0.0913
2016-06-08,1.087,-0.6399
2016-06-13,1.053,-3.1279
2016-06-14,1.055,0.1899
2016-06-15,1.073,1.7062
2016-06-16,1.063,-0.932
2016-06-17,1.076,1.223
2016-06-20,1.078,0.1859
2016-06-21,1.072,-0.5566
2016-06-22,1.083,1.0261
2016-06-23,1.079,-0.3693
2016-06-24,1.066,-1.2048
2016-06-27,1.082,1.5009
2016-06-28,1.107,2.3105
2016-06-29,1.103,-0.3613
2016-06-30,1.108,0.4533
2016-07-01,1.103,-0.4513
2016-07-04,1.118,1.3599
2016-07-05,1.118,0.0
2016-07-06,1.133,1.3417
2016-07-07,1.145,1.0591
2016-07-08,1.14,-0.4367
2016-07-11,1.149,0.7895
2016-07-12,1.174,2.1758
2016-07-13,1.172,-0.1704
2016-07-14,1.169,-0.256
2016-07-15,1.172,0.2566
2016-07-18,1.168,-0.3413
2016-07-19,1.163,-0.4281
2016-07-20,1.163,0.0
2016-07-21,1.166,0.258
2016-07-22,1.157,-0.7719
2016-07-25,1.163,0.5186
2016-07-26,1.177,1.2038
2016-07-27,1.159,-1.5293
2016-07-28,1.168,0.7765
2016-07-29,1.175,0.5993
2016-08-01,1.152,-1.9574
2016-08-02,1.16,0.6944
2016-08-03,1.159,-0.0862
2016-08-04,1.158,-0.0863
2016-08-05,1.158,0.0
2016-08-08,1.168,0.8636
2016-08-09,1.18,1.0274
2016-08-10,1.179,-0.0847
2016-08-11,1.17,-0.7634
2016-08-12,1.179,0.7692
2016-08-15,1.198,1.6115
2016-08-16,1.198,0.0
2016-08-17,1.198,0.0
2016-08-18,1.192,-0.5008
2016-08-19,1.195,0.2517
2016-08-22,1.193,-0.1674
2016-08-23,1.2,0.5868
2016-08-24,1.2,0.0
2016-08-25,1.195,-0.4167
2016-08-26,1.199,0.3347
2016-08-29,1.201,0.1668
2016-08-30,1.196,-0.4163
2016-08-31,1.198,0.1672
2016-09-01,1.192,-0.5008
2016-09-02,1.192,0.0
2016-09-05,1.192,0.0
2016-09-06,1.201,0.755
2016-09-07,1.201,0.0
2016-09-08,1.204,0.2498
2016-09-09,1.196,-0.6645
2016-09-12,1.173,-1.9231
2016-09-13,1.175,0.1705
2016-09-14,1.17,-0.4255
2016-09-19,1.18,0.8547
2016-09-20,1.182,0.1695
2016-09-21,1.183,0.0846
2016-09-22,1.189,0.5072
2016-09-23,1.189,0.0
2016-09-26,1.169,-1.6821
2016-09-27,1.176,0.5988
2016-09-28,1.176,0.0
2016-09-29,1.181,0.4252
2016-09-30,1.186,0.4234
2016-10-10,1.209,1.9393
2016-10-11,1.211,0.1654
2016-10-12,1.211,0.0
2016-10-13,1.21,-0.0826
2016-10-14,1.209,-0.0826
2016-10-17,1.204,-0.4136
2016-10-18,1.214,0.8306
2016-10-19,1.213,-0.0824
2016-10-20,1.207,-0.4946
2016-10-21,1.204,-0.2486
2016-10-24,1.212,0.6645
2016-10-25,1.21,-0.165
2016-10-26,1.212,0.1653
2016-10-27,1.207,-0.4125
2016-10-28,1.2,-0.58
2016-10-31,1.196,-0.3333
2016-11-01,1.206,0.8361
2016-11-02,1.202,-0.3317
2016-11-03,1.206,0.3328
2016-11-04,1.202,-0.3317
2016-11-07,1.196,-0.4992
2016-11-08,1.205,0.7525
2016-11-09,1.198,-0.5809
2016-11-10,1.205,0.5843
2016-11-11,1.202,-0.249
2016-11-14,1.199,-0.2496
2016-11-15,1.203,0.3336
2016-11-16,1.204,0.0831
2016-11-17,1.206,0.1661
2016-11-18,1.2,-0.4975
2016-11-21,1.199,-0.0833
2016-11-22,1.206,0.5838
2016-11-23,1.201,-0.4146
2016-11-24,1.207,0.4996
2016-11-25,1.213,0.4971
2016-11-28,1.212,-0.0824
2016-11-29,1.213,0.0825
2016-11-30,1.213,0.0
2016-12-01,1.214,0.0824
2016-12-02,1.202,-0.9885
2016-12-05,1.193,-0.7488
2016-12-06,1.196,0.2515
2016-12-07,1.201,0.4181
2016-12-08,1.194,-0.5828
2016-12-09,1.19,-0.335
2016-12-12,1.17,-1.6807
2016-12-13,1.17,0.0
2016-12-14,1.16,-0.8547
2016-12-15,1.155,-0.431
2016-12-16,1.165,0.8658
2016-12-19,1.164,-0.0858
2016-12-20,1.161,-0.2577
2016-12-21,1.166,0.4307
2016-12-22,1.164,-0.1715
2016-12-23,1.156,-0.6873
2016-12-26,1.161,0.4325
2016-12-27,1.162,0.0861
2016-12-28,1.159,-0.2582
2016-12-29,1.154,-0.4314
2016-12-30,1.171,1.4731
2016-12-31,1.171,0.0
2017-01-03,1.175,0.3416
2017-01-04,1.179,0.3404
2017-01-05,1.177,-0.1696
2017-01-06,1.167,-0.8496
2017-01-09,1.171,0.3428
2017-01-10,1.17,-0.0854
2017-01-11,1.162,-0.6838
2017-01-12,1.15,-1.0327
2017-01-13,1.144,-0.5217
2017-01-16,1.137,-0.6119
2017-01-17,1.142,0.4398
2017-01-18,1.144,0.1751
2017-01-19,1.143,-0.0874
2017-01-20,1.155,1.0499
2017-01-23,1.157,0.1732
2017-01-24,1.154,-0.2593
2017-01-25,1.164,0.8666
2017-01-26,1.169,0.4296
2017-02-03,1.17,0.0855
2017-02-06,1.174,0.3419
2017-02-07,1.171,-0.2555
2017-02-08,1.172,0.0854
2017-02-09,1.173,0.0853
2017-02-10,1.17,-0.2558
2017-02-13,1.177,0.5983
2017-02-14,1.175,-0.1699
2017-02-15,1.169,-0.5106
2017-02-16,1.175,0.5133
2017-02-17,1.168,-0.5957
2017-02-20,1.181,1.113
2017-02-21,1.187,0.508
2017-02-22,1.191,0.337
2017-02-23,1.203,1.0076
2017-02-24,1.204,0.0831
2017-02-27,1.197,-0.5814
2017-02-28,1.195,-0.1671
2017-03-01,1.195,0.0
2017-03-02,1.19,-0.4184
2017-03-03,1.19,0.0
2017-03-06,1.194,0.3361
2017-03-07,1.201,0.5863
2017-03-08,1.198,-0.2498
2017-03-09,1.189,-0.7513
2017-03-10,1.193,0.3364
2017-03-13,1.201,0.6706
2017-03-14,1.202,0.0833
2017-03-15,1.208,0.4992
2017-03-16,1.21,0.1656
2017-03-17,1.204,-0.4959
2017-03-20,1.214,0.8306
2017-03-21,1.228,1.1532
2017-03-22,1.243,1.2215
2017-03-23,1.242,-0.0805
2017-03-24,1.244,0.161
2017-03-27,1.234,-0.8039
2017-03-28,1.233,-0.081
2017-03-29,1.228,-0.4055
2017-03-30,1.217,-0.8958
2017-03-31,1.227,0.8217
2017-04-05,1.234,0.5705
2017-04-06,1.236,0.1621
2017-04-07,1.234,-0.1618
2017-04-10,1.222,-0.9724
2017-04-11,1.216,-0.491
2017-04-12,1.217,0.0822
2017-04-13,1.227,0.8217
2017-04-14,1.221,-0.489
2017-04-17,1.221,0.0
2017-04-18,1.231,0.819
2017-04-19,1.229,-0.1625
2017-04-20,1.255,2.1155
2017-04-21,1.253,-0.1594
2017-04-24,1.24,-1.0375
2017-04-25,1.239,-0.0806
2017-04-26,1.237,-0.1614
2017-04-27,1.237,0.0
2017-04-28,1.229,-0.6467
2017-05-02,1.225,-0.3255
2017-05-03,1.224,-0.0816
2017-05-04,1.221,-0.2451
2017-05-05,1.216,-0.4095
2017-05-08,1.207,-0.7401
2017-05-09,1.201,-0.4971
2017-05-10,1.198,-0.2498
2017-05-11,1.202,0.3339
2017-05-12,1.209,0.5824
2017-05-15,1.221,0.9926
2017-05-16,1.24,1.5561
2017-05-17,1.23,-0.8065
2017-05-18,1.233,0.2439
2017-05-19,1.236,0.2433
2017-05-22,1.238,0.1618
2017-05-23,1.239,0.0808
2017-05-24,1.236,-0.2421
2017-05-25,1.235,-0.0809
2017-05-26,1.232,-0.2429
2017-05-31,1.235,0.2435
2017-06-01,1.24,0.4049
2017-06-02,1.234,-0.4839
2017-06-05,1.227,-0.5673
2017-06-06,1.233,0.489
2017-06-07,1.25,1.3788
2017-06-08,1.266,1.28
2017-06-09,1.268,0.158
2017-06-12,1.272,0.3155
2017-06-13,1.277,0.3931
2017-06-14,1.265,-0.9397
2017-06-15,1.264,-0.0791
2017-06-16,1.262,-0.1582
2017-06-19,1.269,0.5547
2017-06-20,1.26,-0.7092
2017-06-21,1.277,1.3492
2017-06-22,1.264,-1.018
2017-06-23,1.274,0.7911
2017-06-26,1.292,1.4129
2017-06-27,1.294,0.1548
2017-06-28,1.282,-0.9274
2017-06-29,1.289,0.546
2017-06-30,1.294,0.3879
2017-07-03,1.288,-0.4637
2017-07-04,1.277,-0.854
2017-07-05,1.282,0.3915
2017-07-06,1.272,-0.78
2017-07-07,1.267,-0.3931
2017-07-10,1.26,-0.5525
2017-07-11,1.257,-0.2381
2017-07-12,1.246,-0.8751
2017-07-13,1.25,0.321
2017-07-14,1.247,-0.24
2017-07-17,1.224,-1.8444
2017-07-18,1.223,-0.0817
2017-07-19,1.233,0.8177
2017-07-20,1.235,0.1622
2017-07-21,1.231,-0.3239
2017-07-24,1.231,0.0
2017-07-25,1.23,-0.0812
2017-07-26,1.216,-1.1382
2017-07-27,1.222,0.4934
2017-07-28,1.226,0.3273
2017-07-31,1.231,0.4078
2017-08-01,1.231,0.0
2017-08-02,1.221,-0.8123
2017-08-03,1.216,-0.4095
2017-08-04,1.213,-0.2467
2017-08-07,1.227,1.1542
2017-08-08,1.231,0.326
2017-08-09,1.247,1.2998
2017-08-10,1.245,-0.1604
2017-08-11,1.241,-0.3213
2017-08-14,1.257,1.2893
2017-08-15,1.253,-0.3182
2017-08-16,1.252,-0.0798
2017-08-17,1.252,0.0
2017-08-18,1.254,0.1597
2017-08-21,1.263,0.7177
2017-08-22,1.259,-0.3167
2017-08-23,1.253,-0.4766
2017-08-24,1.245,-0.6385
2017-08-25,1.25,0.4016
2017-08-28,1.255,0.4
2017-08-29,1.247,-0.6375
2017-08-30,1.249,0.1604
2017-08-31,1.247,-0.1601
2017-09-01,1.249,0.1604
2017-09-04,1.258,0.7206
2017-09-05,1.264,0.4769
2017-09-06,1.26,-0.3165
2017-09-07,1.26,0.0
2017-09-08,1.266,0.4762
2017-09-11,1.26,-0.4739
2017-09-12,1.258,-0.1587
2017-09-13,1.261,0.2385
2017-09-14,1.261,0.0
2017-09-15,1.263,0.1586
2017-09-18,1.27,0.5542
2017-09-19,1.265,-0.3937
2017-09-20,1.268,0.2372
2017-09-21,1.263,-0.3943
2017-09-22,1.263,0.0
2017-09-25,1.276,1.0293
2017-09-26,1.272,-0.3135
2017-09-27,1.271,-0.0786
2017-09-28,1.28,0.7081
2017-09-29,1.283,0.2344
2017-10-09,1.298,1.1691
2017-10-10,1.311,1.0015
2017-10-11,1.327,1.2204
2017-10-12,1.328,0.0754
2017-10-13,1.327,-0.0753
2017-10-16,1.321,-0.4521
2017-10-17,1.325,0.3028
2017-10-18,1.344,1.434
2017-10-19,1.358,1.0417
2017-10-20,1.354,-0.2946
2017-10-23,1.369,1.1078
2017-10-24,1.374,0.3652
2017-10-25,1.388,1.0189
2017-10-26,1.379,-0.6484
2017-10-27,1.384,0.3626
2017-10-30,1.378,-0.4335
2017-10-31,1.373,-0.3628
2017-11-01,1.372,-0.0728
2017-11-02,1.375,0.2187
2017-11-03,1.381,0.4364
2017-11-06,1.423,3.0413
2017-11-07,1.414,-0.6325
2017-11-08,1.396,-1.273
2017-11-09,1.407,0.788
2017-11-10,1.414,0.4975
2017-11-13,1.406,-0.5658
2017-11-14,1.385,-1.4936
2017-11-15,1.389,0.2888
2017-11-16,1.414,1.7999
2017-11-17,1.396,-1.273
