净值日期,单位净值,日增长率
2014-06-05,1.0,0.0
2014-06-06,1.0002,0.02
2014-06-13,1.0007,0.0
2014-06-20,1.0013,0.0
2014-06-23,1.0016,0.03
2014-06-24,1.0021,0.0499
2014-06-25,1.0023,0.02
2014-06-26,1.0024,0.01
2014-06-27,1.0025,0.01
2014-06-30,1.0028,0.0299
2014-07-01,1.0029,0.01
2014-07-02,1.0031,0.0199
2014-07-03,1.0032,0.01
2014-07-04,1.0033,0.01
2014-07-07,1.0035,0.0199
2014-07-08,1.0036,0.01
2014-07-09,1.0041,0.0498
2014-07-10,1.0042,0.01
2014-07-11,1.0043,0.01
2014-07-14,1.0045,0.0199
2014-07-15,1.0048,0.0299
2014-07-16,1.005,0.0199
2014-07-17,1.0052,0.0199
2014-07-18,1.0057,0.0497
2014-07-21,1.0061,0.0398
2014-07-22,1.0072,0.1093
2014-07-23,1.0076,0.0397
2014-07-24,1.0101,0.2481
2014-07-25,1.0151,0.495
2014-07-28,1.0329,1.7535
2014-07-29,1.0355,0.2517
2014-07-30,1.0324,-0.2994
2014-07-31,1.0425,0.9783
2014-08-01,1.0335,-0.8633
2014-08-04,1.0524,1.8287
2014-08-05,1.0498,-0.2471
2014-08-06,1.0474,-0.2286
2014-08-07,1.0326,-1.413
2014-08-08,1.0343,0.1646
2014-08-11,1.0486,1.3826
2014-08-12,1.045,-0.3433
2014-08-13,1.0455,0.0478
2014-08-14,1.0359,-0.9182
2014-08-15,1.0444,0.8205
2014-08-18,1.0485,0.3926
2014-08-19,1.0484,-0.0095
2014-08-20,1.0456,-0.2671
2014-08-21,1.0419,-0.3539
2014-08-22,1.0453,0.3263
2014-08-25,1.0382,-0.6792
2014-08-26,1.0321,-0.5876
2014-08-27,1.0334,0.126
2014-08-28,1.0282,-0.5032
2014-08-29,1.0371,0.8656
2014-09-01,1.0426,0.5303
2014-09-02,1.0528,0.9783
2014-09-03,1.0601,0.6934
2014-09-04,1.0658,0.5377
2014-09-05,1.0733,0.7037
2014-09-09,1.0714,-0.177
2014-09-10,1.0671,-0.4013
2014-09-11,1.0642,-0.2718
2014-09-12,1.0697,0.5168
2014-09-15,1.0693,-0.0374
2014-09-16,1.0518,-1.6366
2014-09-17,1.0563,0.4278
2014-09-18,1.0589,0.2461
2014-09-19,1.065,0.5761
2014-09-22,1.0483,-1.5681
2014-09-23,1.056,0.7345
2014-09-24,1.074,1.7045
2014-09-25,1.0718,-0.2048
2014-09-26,1.0717,-0.0093
2014-09-29,1.0756,0.3639
2014-09-30,1.0765,0.0837
2014-10-08,1.0877,1.0404
2014-10-09,1.0889,0.1103
2014-10-10,1.0823,-0.6061
2014-10-13,1.0763,-0.5544
2014-10-14,1.0728,-0.3252
2014-10-15,1.08,0.6711
2014-10-16,1.072,-0.7407
2014-10-17,1.0711,-0.084
2014-10-20,1.0764,0.4948
2014-10-21,1.0676,-0.8175
2014-10-22,1.0615,-0.5714
2014-10-23,1.0523,-0.8667
2014-10-24,1.05,-0.2186
2014-10-27,1.0409,-0.8667
2014-10-28,1.0607,1.9022
2014-10-29,1.0751,1.3576
2014-10-30,1.0822,0.6604
2014-10-31,1.0985,1.5062
2014-11-03,1.1002,0.1548
2014-11-04,1.1005,0.0273
2014-11-05,1.0966,-0.3544
2014-11-06,1.0976,0.0912
2014-11-07,1.096,-0.1458
2014-11-10,1.1223,2.3996
2014-11-11,1.119,-0.294
2014-11-12,1.1339,1.3315
2014-11-13,1.1279,-0.5291
2014-11-14,1.1284,0.0443
2014-11-17,1.1227,-0.5051
2014-11-18,1.1119,-0.962
2014-11-19,1.1102,-0.1529
2014-11-20,1.1102,0.0
2014-11-21,1.1294,1.7294
2014-11-24,1.1561,2.3641
2014-11-25,1.1702,1.2196
2014-11-26,1.1848,1.2476
2014-11-27,1.198,1.1141
2014-11-28,1.2201,1.8447
2014-12-01,1.2251,0.4098
2014-12-02,1.2678,3.4854
2014-12-03,1.2854,1.3882
2014-12-04,1.3412,4.3411
2014-12-05,1.3497,0.6338
2014-12-08,1.4023,3.8972
2014-12-09,1.3431,-4.2216
2014-12-10,1.3894,3.4472
2014-12-11,1.3737,-1.13
2014-12-12,1.3787,0.364
2014-12-15,1.3882,0.6891
2014-12-16,1.424,2.5789
2014-12-17,1.4484,1.7135
2014-12-18,1.4428,-0.3866
2014-12-19,1.4579,1.0466
2014-12-22,1.4619,0.2744
2014-12-23,1.4355,-1.8059
2014-12-24,1.397,-2.682
2014-12-25,1.4401,3.0852
2014-12-26,1.4855,3.1526
2014-12-29,1.4891,0.2423
2014-12-30,1.4899,0.0537
2014-12-31,1.5208,2.074
2015-01-05,1.5647,2.8866
2015-01-06,1.5643,-0.0256
2015-01-07,1.5652,0.0575
2015-01-08,1.5306,-2.2106
2015-01-09,1.5255,-0.3332
2015-01-12,1.5116,-0.9112
2015-01-13,1.5118,0.0132
2015-01-14,1.5074,-0.291
2015-01-15,1.5488,2.7465
2015-01-16,1.5616,0.8264
2015-01-19,1.4474,-7.313
2015-01-20,1.4639,1.14
2015-01-21,1.5259,4.2353
2015-01-22,1.5335,0.4981
2015-01-23,1.5352,0.1109
2015-01-26,1.5489,0.8924
2015-01-27,1.5355,-0.8651
2015-01-28,1.5153,-1.3155
2015-01-29,1.4975,-1.1747
2015-01-30,1.4787,-1.2554
2015-02-02,1.4466,-2.1708
2015-02-03,1.4802,2.3227
2015-02-04,1.4656,-0.9864
2015-02-05,1.4515,-0.9621
2015-02-06,1.4294,-1.5226
2015-02-09,1.4425,0.9165
2015-02-10,1.4675,1.7331
2015-02-11,1.4783,0.7359
2015-02-12,1.4818,0.2368
2015-02-13,1.493,0.7558
2015-02-16,1.5054,0.8305
2015-02-17,1.5148,0.6244
2015-02-25,1.497,-1.1751
