净值日期,单位净值,日增长率
2014-03-14,1.0,0.0
2014-03-21,0.989,-1.1
2014-03-28,0.977,-1.2133
2014-04-04,0.974,-0.3071
2014-04-11,0.984,1.0267
2014-04-18,0.983,-0.1016
2014-04-25,0.962,-2.1363
2014-04-30,0.963,0.104
2014-05-09,0.954,-0.9346
2014-05-12,0.96,0.6289
2014-05-13,0.963,0.3125
2014-05-14,0.962,-0.1038
2014-05-15,0.952,-1.0395
2014-05-16,0.942,-1.0504
2014-05-19,0.934,-0.8493
2014-05-20,0.937,0.3212
2014-05-21,0.943,0.6403
2014-05-22,0.947,0.4242
2014-05-23,0.958,1.1616
2014-05-26,0.967,0.9395
2014-05-27,0.96,-0.7239
2014-05-28,0.969,0.9375
2014-05-29,0.965,-0.4128
2014-05-30,0.964,-0.1036
2014-06-03,0.963,-0.1037
2014-06-04,0.96,-0.3115
2014-06-05,0.974,1.4583
2014-06-06,0.971,-0.308
2014-06-09,0.963,-0.8239
2014-06-10,0.977,1.4538
2014-06-11,0.987,1.0235
2014-06-12,0.986,-0.1013
2014-06-13,0.994,0.8114
2014-06-16,0.994,0.0
2014-06-17,0.975,-1.9115
2014-06-18,0.966,-0.9231
2014-06-19,0.943,-2.381
2014-06-20,0.953,1.0604
2014-06-23,0.97,1.7838
2014-06-24,0.982,1.2371
2014-06-25,0.977,-0.5092
2014-06-26,0.99,1.3306
2014-06-27,0.997,0.7071
2014-06-30,1.004,0.7021
2014-07-01,1.006,0.1992
2014-07-02,1.018,1.1928
2014-07-03,1.022,0.3929
2014-07-04,1.015,-0.6849
2014-07-07,1.004,-1.0837
2014-07-08,1.009,0.498
2014-07-09,0.989,-1.9822
2014-07-10,0.983,-0.6067
2014-07-11,0.986,0.3052
2014-07-14,0.989,0.3043
2014-07-15,0.983,-0.6067
2014-07-16,0.969,-1.4242
2014-07-17,0.963,-0.6192
2014-07-18,0.961,-0.2077
2014-07-21,0.965,0.4162
2014-07-22,0.972,0.7254
2014-07-23,0.947,-2.572
2014-07-24,0.938,-0.9504
2014-07-25,0.948,1.0661
2014-07-28,0.965,1.7932
2014-07-29,0.979,1.4508
2014-07-30,0.992,1.3279
2014-07-31,0.996,0.4032
2014-08-01,0.986,-1.004
2014-08-04,0.991,0.5071
2014-08-05,0.997,0.6054
2014-08-06,1.005,0.8024
2014-08-07,1.001,-0.398
2014-08-08,1.009,0.7992
2014-08-11,1.022,1.2884
2014-08-12,1.022,0.0
2014-08-13,1.015,-0.6849
2014-08-14,1.008,-0.6897
2014-08-15,1.014,0.5952
2014-08-18,1.035,2.071
2014-08-19,1.038,0.2899
2014-08-20,1.033,-0.4817
2014-08-21,1.037,0.3872
2014-08-22,1.044,0.675
2014-08-25,1.035,-0.8621
2014-08-26,1.022,-1.256
2014-08-27,1.025,0.2935
2014-08-28,1.014,-1.0732
2014-08-29,1.023,0.8876
2014-09-01,1.038,1.4663
2014-09-02,1.05,1.1561
2014-09-03,1.059,0.8571
2014-09-04,1.06,0.0944
2014-09-05,1.064,0.3774
2014-09-09,1.068,0.3759
2014-09-10,1.074,0.5618
2014-09-11,1.073,-0.0931
2014-09-12,1.084,1.0252
2014-09-15,1.083,-0.0923
