净值日期,单位净值,日增长率
2015-05-12,1.0,0.0
2015-05-13,1.0,0.0
2015-05-14,1.0,0.0
2015-05-15,1.0,0.0
2015-05-18,1.0,0.0
2015-05-19,1.0,0.0
2015-05-20,1.0,0.0
2015-05-21,1.0,0.0
2015-05-22,1.0,0.0
2015-05-29,0.993,0.0
2015-06-05,1.018,0.0
2015-06-12,1.035,0.0
2015-06-15,1.016,-1.8357
2015-06-16,0.998,-1.7717
2015-06-17,1.01,1.2024
2015-06-18,0.981,-2.8713
2015-06-19,0.945,-3.6697
2015-06-23,0.959,1.4815
2015-06-24,0.97,1.147
2015-06-25,0.943,-2.7835
2015-06-26,0.892,-5.4083
2015-06-29,0.865,-3.0269
2015-06-30,0.902,4.2775
2015-07-01,0.874,-3.1042
2015-07-02,0.843,-3.5469
2015-07-03,0.815,-3.3215
2015-07-06,0.815,0.0
2015-07-07,0.791,-2.9448
2015-07-08,0.749,-5.3097
2015-07-09,0.792,5.741
2015-07-10,0.832,5.0505
2015-07-13,0.876,5.2885
2015-07-14,0.881,0.5708
2015-07-15,0.846,-3.9728
2015-07-16,0.849,0.3546
2015-07-17,0.884,4.1225
2015-07-20,0.893,1.0181
2015-07-21,0.905,1.3438
2015-07-22,0.912,0.7735
2015-07-23,0.932,2.193
2015-07-24,0.915,-1.824
2015-07-27,0.863,-5.6831
2015-07-28,0.852,-1.2746
2015-07-29,0.875,2.6995
2015-07-30,0.852,-2.6286
2015-07-31,0.849,-0.3521
2015-08-03,0.838,-1.2956
2015-08-04,0.868,3.58
2015-08-05,0.86,-0.9217
2015-08-06,0.858,-0.2326
2015-08-07,0.878,2.331
2015-08-10,0.91,3.6446
2015-08-11,0.909,-0.1099
2015-08-12,0.898,-1.2101
2015-08-13,0.912,1.559
2015-08-14,0.917,0.5482
2015-08-17,0.926,0.9815
2015-08-18,0.878,-5.1836
2015-08-19,0.888,1.139
2015-08-20,0.862,-2.9279
2015-08-21,0.828,-3.9443
2015-08-24,0.772,-6.7633
2015-08-25,0.725,-6.0881
2015-08-26,0.718,-0.9655
2015-08-27,0.748,4.1783
2015-08-28,0.781,4.4118
2015-08-31,0.77,-1.4085
2015-09-01,0.746,-3.1169
2015-09-02,0.743,-0.4021
2015-09-07,0.737,-0.8075
2015-09-08,0.761,3.2564
2015-09-09,0.779,2.3653
2015-09-10,0.771,-1.027
2015-09-11,0.771,0.0
2015-09-14,0.736,-4.5396
2015-09-15,0.703,-4.4837
2015-09-16,0.744,5.8321
2015-09-17,0.733,-1.4785
2015-09-18,0.742,1.2278
2015-09-21,0.763,2.8302
2015-09-22,0.769,0.7864
2015-09-23,0.763,-0.7802
2015-09-24,0.769,0.7864
2015-09-25,0.752,-2.2107
2015-09-28,0.764,1.5957
2015-09-29,0.757,-0.9162
2015-09-30,0.757,0.0
2015-10-08,0.774,2.2457
2015-10-09,0.778,0.5168
2015-10-12,0.793,1.928
2015-10-13,0.797,0.5044
2015-10-14,0.791,-0.7528
2015-10-15,0.807,2.0228
