净值日期,单位净值,日增长率
2015-04-28,1.0,0.0
2015-04-30,0.998,0.0
2015-05-08,0.995,0.0
2015-05-15,0.996,0.0
2015-05-22,1.039,0.0
2015-05-29,1.028,0.0
2015-06-05,1.091,0.0
2015-06-12,1.133,0.0
2015-06-19,1.002,0.0
2015-06-25,1.013,0.0
2015-06-26,0.946,-6.614
2015-06-29,0.899,-4.9683
2015-06-30,0.947,5.3393
2015-07-01,0.901,-4.8574
2015-07-02,0.854,-5.2164
2015-07-03,0.806,-5.6206
2015-07-06,0.799,-0.8685
2015-07-07,0.766,-4.1302
2015-07-08,0.728,-4.9608
2015-07-09,0.768,5.4945
2015-07-10,0.808,5.2083
2015-07-13,0.846,4.703
2015-07-14,0.848,0.2364
2015-07-15,0.806,-4.9528
2015-07-16,0.816,1.2407
2015-07-17,0.859,5.2696
2015-07-20,0.873,1.6298
2015-07-21,0.884,1.26
2015-07-22,0.885,0.1131
2015-07-23,0.913,3.1638
2015-07-24,0.895,-1.9715
2015-07-27,0.819,-8.4916
2015-07-28,0.794,-3.0525
2015-07-29,0.828,4.2821
2015-07-30,0.805,-2.7778
2015-07-31,0.801,-0.4969
2015-08-03,0.785,-1.9975
2015-08-04,0.822,4.7134
2015-08-05,0.81,-1.4599
2015-08-06,0.808,-0.2469
2015-08-07,0.832,2.9703
2015-08-10,0.876,5.2885
2015-08-11,0.879,0.3425
2015-08-12,0.86,-2.1615
2015-08-13,0.88,2.3256
2015-08-14,0.886,0.6818
2015-08-17,0.9,1.5801
2015-08-18,0.828,-8.0
2015-08-19,0.842,1.6908
2015-08-20,0.814,-3.3254
2015-08-21,0.764,-6.1425
2015-08-24,0.697,-8.7696
2015-08-25,0.646,-7.3171
2015-08-26,0.636,-1.548
2015-08-27,0.673,5.8176
2015-08-28,0.709,5.3492
2015-08-31,0.694,-2.1157
2015-09-01,0.665,-4.1787
2015-09-02,0.654,-1.6541
2015-09-07,0.651,-0.4587
2015-09-08,0.681,4.6083
2015-09-09,0.704,3.3774
2015-09-10,0.693,-1.5625
2015-09-11,0.695,0.2886
2015-09-14,0.666,-4.1727
2015-09-15,0.637,-4.3544
2015-09-16,0.678,6.4364
2015-09-17,0.666,-1.7699
2015-09-18,0.674,1.2012
2015-09-21,0.695,3.1157
2015-09-22,0.702,1.0072
2015-09-23,0.691,-1.567
2015-09-24,0.7,1.3025
2015-09-25,0.686,-2.0
2015-09-28,0.702,2.3324
2015-09-29,0.695,-0.9972
2015-09-30,0.693,-0.2878
2015-10-08,0.711,2.5974
2015-10-09,0.725,1.9691
2015-10-12,0.751,3.5862
2015-10-13,0.758,0.9321
2015-10-14,0.744,-1.847
2015-10-15,0.765,2.8226
2015-10-16,0.774,1.1765
2015-10-19,0.781,0.9044
2015-10-20,0.791,1.2804
2015-10-21,0.744,-5.9418
2015-10-22,0.768,3.2258
2015-10-23,0.79,2.8646
2015-10-26,0.796,0.7595
2015-10-27,0.801,0.6281
2015-10-28,0.78,-2.6217
2015-10-29,0.784,0.5128
2015-10-30,0.787,0.3827
2015-11-02,0.77,-2.1601
2015-11-03,0.769,-0.1299
2015-11-04,0.808,5.0715
2015-11-05,0.811,0.3713
2015-11-06,0.833,2.7127
2015-11-09,0.843,1.2005
2015-11-10,0.844,0.1186
2015-11-11,0.856,1.4218
2015-11-12,0.853,-0.3505
2015-11-13,0.834,-2.2274
2015-11-16,0.845,1.3189
2015-11-17,0.843,-0.2367
2015-11-18,0.83,-1.5421
2015-11-19,0.848,2.1687
2015-11-20,0.857,1.0613
2015-11-23,0.857,0.0
2015-11-24,0.862,0.5834
2015-11-25,0.882,2.3202
2015-11-26,0.881,-0.1134
2015-11-27,0.83,-5.7889
2015-11-30,0.836,0.7229
2015-12-01,0.841,0.5981
2015-12-02,0.846,0.5945
2015-12-03,0.863,2.0095
2015-12-04,0.853,-1.1587
2015-12-07,0.862,1.0551
2015-12-08,0.844,-2.0882
2015-12-09,0.847,0.3555
2015-12-10,0.843,-0.4723
2015-12-11,0.836,-0.8304
2015-12-14,0.857,2.512
2015-12-15,0.863,0.7001
2015-12-16,0.872,1.0429
2015-12-17,0.896,2.7523
2015-12-18,0.9,0.4464
2015-12-21,0.92,2.2222
2015-12-22,0.928,0.8696
2015-12-23,0.914,-1.5086
2015-12-24,0.913,-0.1094
2015-12-25,0.923,1.0953
2015-12-28,0.909,-1.5168
2015-12-29,0.917,0.8801
2015-12-30,0.924,0.7634
2015-12-31,0.914,-1.0823
2016-01-04,0.842,-7.8775
2016-01-05,0.832,-1.1876
2016-01-06,0.848,1.9231
2016-01-07,0.781,-7.9009
2016-01-08,0.791,1.2804
2016-01-11,0.74,-6.4475
2016-01-12,0.745,0.6757
2016-01-13,0.727,-2.4161
2016-01-14,0.749,3.0261
2016-01-15,0.723,-3.4713
2016-01-18,0.733,1.3831
2016-01-19,0.755,3.0014
2016-01-20,0.742,-1.7219
2016-01-21,0.714,-3.7736
2016-01-22,0.719,0.7003
2016-01-25,0.728,1.2517
2016-01-26,0.677,-7.0055
2016-01-27,0.67,-1.034
2016-01-28,0.643,-4.0299
2016-01-29,0.667,3.7325
2016-02-01,0.665,-0.2999
2016-02-02,0.687,3.3083
2016-02-03,0.688,0.1456
2016-02-04,0.701,1.8895
2016-02-05,0.695,-0.8559
2016-02-15,0.694,-0.1439
2016-02-16,0.719,3.6023
2016-02-17,0.723,0.5563
2016-02-18,0.72,-0.4149
2016-02-19,0.723,0.4167
2016-02-22,0.737,1.9364
2016-02-23,0.734,-0.4071
2016-02-24,0.733,-0.1362
2016-02-25,0.678,-7.5034
2016-02-26,0.679,0.1475
2016-02-29,0.641,-5.5965
2016-03-01,0.656,2.3401
2016-03-02,0.684,4.2683
2016-03-03,0.685,0.1462
2016-03-04,0.667,-2.6277
2016-03-07,0.681,2.099
2016-03-08,0.683,0.2937
2016-03-09,0.671,-1.757
